id,date,source,api_source,titre,contenu,score,sentiment,confiance,poids,score_pondere,url
4,2026-01-10 14:13,Yahoo Entertainment,newsapi,"If You Invested $500 or More in Tesla Stock at the Beginning of 2025, Here’s How Much You’d Have Now","If You Invested $500 or More in Tesla Stock at the Beginning of 2025, Here’s How Much You’d Have Now. Tesla (TSLA) shareholders had a wild ride in 2025, filled with extreme highs and lows for both its...",0.0,neutral,0.727,1.3,0.0,https://finance.yahoo.com/news/invested-500-more-tesla-stock-141305155.html
5,2026-01-11 16:03,MarketBeat,newsapi,This ETF Is Proof That the Healthcare Rebound Is Real,"This ETF Is Proof That the Healthcare Rebound Is Real. Caduceus symbol on trading floor with rising stock charts, highlighting healthcare stocks and market momentum.
<ul><li>After years of trailing t...",0.944,positive,0.944,1.58,1.496,https://www.marketbeat.com/originals/this-etf-is-proof-that-the-healthcare-rebound-is-real/?utm_source=yahoofinance&amp;utm_medium=yahoofinance
1,2026-01-10 08:21,Yahoo Entertainment,newsapi,BofA Maintains Buy on Nvidia (NVDA) Following CES AI Updates,"BofA Maintains Buy on Nvidia (NVDA) Following CES AI Updates. NVIDIA Corporation (NASDAQ:NVDA) is one of the AI Stocks Analysts Are Watching Closely. On January 6, Bank of America reiterated the stock...",0.0,neutral,0.671,1.3,0.0,https://finance.yahoo.com/news/bofa-maintains-buy-nvidia-nvda-082143740.html
2,2026-01-11 18:18,BeInCrypto,newsapi,X Smart Cashtags: Elon Musk’s Platform Eyes Crypto and Stock Trading Integration,"X Smart Cashtags: Elon Musk’s Platform Eyes Crypto and Stock Trading Integration. X unveils Smart Cashtags for live crypto, stock prices, and in-app trading integration. Photo by BeInCrypto
A newly t...",0.0,neutral,0.868,1.58,0.0,https://beincrypto.com/x-smart-cashtags-crypto-stock-trading/
3,2026-01-12 12:58,Investor's Business Daily,gnews,"Dow Falls On Powell Investigation; Nvidia, Tesla Slide (Live)| Investor's Business Daily","Dow Falls On Powell Investigation; Nvidia, Tesla Slide (Live)| Investor's Business Daily. Information in Investor’s Business Daily is for informational and educational purposes only and should not be ...",0.0,neutral,0.949,1.56,0.0,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-powell-nvidia-nvda-tesla-tsla/
4,2026-01-12 16:16,MarketScreener,gnews,"Alphabet crosses the $4 trillion valuation mark, driven by the AI boom","Alphabet crosses the $4 trillion valuation mark, driven by the AI boom. Alphabet reached a market capitalization of $4 trillion on Monday, becoming the world's fourth company to cross this threshold, ...",0.948,positive,0.948,1.56,1.479,https://www.marketscreener.com/news/alphabet-crosses-the-4-trillion-valuation-mark-driven-by-the-ai-boom-ce7e58dad189fe20
5,2026-01-10 16:00,Yahoo Entertainment,newsapi,Nvidia takes on Tesla with what Jensen Huang calls the 'ChatGPT moment' for self-driving,"Nvidia takes on Tesla with what Jensen Huang calls the 'ChatGPT moment' for self-driving. ""The ChatGPT moment for physical AI is here when machines begin to understand, reason, and act in the real wor...",0.0,neutral,0.86,1.3,0.0,https://finance.yahoo.com/news/nvidia-takes-on-tesla-with-what-jensen-huang-calls-the-chatgpt-moment-for-self-driving-160045664.html
6,2026-01-11 23:20,Decrypt,newsapi,X Plans ‘Smart Cashtags’ to Link Crypto and Stock Tickers to Live Prices,"X Plans ‘Smart Cashtags’ to Link Crypto and Stock Tickers to Live Prices. In brief
<ul><li>The tool, called Smart Cashtags, will let users tag specific stocks or crypto assets, down to individual sma...",0.0,neutral,0.942,1.58,0.0,https://decrypt.co/354215/x-smart-cashtags-link-crypto-stock-tickers-live-prices
7,2026-01-11 14:00,Yahoo Entertainment,newsapi,Magnificent 7’s stock market dominance shows signs of cracking,"Magnificent 7’s stock market dominance shows signs of cracking. (Bloomberg) To beat the market in recent years, many investors applied a simple strategy: Load up on the biggest US technology stocks.
...",0.595,positive,0.595,1.58,0.942,https://finance.yahoo.com/news/magnificent-7-stock-market-dominance-140007016.html
8,2026-01-12 07:26,Yahoo Entertainment,newsapi,Jim Cramer Discusses NVIDIA (NVDA)’s Accelerated Computing Market,"Jim Cramer Discusses NVIDIA (NVDA)’s Accelerated Computing Market. If you click 'Accept all', we and our partners, including 245 who are part of the IAB Transparency &amp; Consent Framework, will also...",0.0,neutral,0.947,1.32,0.0,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_8500b50b-400a-473b-9498-817efc130bc8
