date,Open,High,Low,Close,Volume,symbol,price_change,daily_return,high_low_ratio,volume_change,MA_5,MA_10,MA_20,MA_50,MA_5_ratio,MA_10_ratio,MA_20_ratio,RSI_14,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_position,volatility_5,volatility_10,volatility_20,momentum_5,momentum_10,target_5_days,target_direction,date_dt,day_of_week,month,quarter
2024-02-01,142.12,143.06,140.79,141.16,40466549,GOOGL,0.007566024268379712,0.7566024268379712,1.0161233042119469,-0.4372615180154805,147.683,147.8395,144.23775,139.2573,0.9558310706039287,0.9548192465477765,0.9786619660941743,48.41597796143248,2.2206308575025844,2.7817670761307802,-0.5611362186281958,144.23775,154.67831687057497,133.79718312942504,0.3526061832583945,0.03521674603014755,0.027837630222373025,0.02107909540701203,-0.07052084019226978,-0.016169500975745654,0.03364975913856627,1,2024-02-01,3,2,1
2024-02-02,139.26,142.62,136.5,142.38,62499574,GOOGL,0.0086426749787476,0.86426749787476,1.0448351648351648,0.5444750181192866,145.722,147.4395,144.53725,139.3799,0.9770659200395272,0.9656842298027326,0.9850747817604112,49.54530144829907,1.7724239190442006,2.5798984447134647,-0.8074745256692641,144.53725,154.3550198587816,134.7194801412184,0.39013543650799504,0.03607834789140622,0.027075805166842645,0.020640414990081953,-0.06442816309097488,-0.02732613745047141,0.046495294282904887,1,2024-02-02,4,2,1
2024-02-05,142.82,145.47,142.78,143.68,38505405,GOOGL,0.009130495856159548,0.9130495856159548,1.0188401736937946,-0.3839093207259301,143.756,147.20850000000002,144.93475,139.51409999999998,0.9994713264142019,0.9760305960593307,0.9913426559193016,51.929938371715856,1.5047697772999413,2.36487271123076,-0.8601029339308188,144.93475,153.85371824042358,136.01578175957644,0.4296583435338922,0.036141648222579294,0.027319940892220156,0.02062029478685823,-0.06403491629209812,-0.015823001575450357,0.026795657015590058,1,2024-02-05,0,2,1
2024-02-06,144.65,145.36,143.19,144.1,29128201,GOOGL,0.002923162583518879,0.2923162583518879,1.0151546895732944,-0.24352955124092324,142.284,146.9145,145.19774999999998,139.6263,1.0127632059824014,0.9808425989265865,0.9924396211373799,54.34998346013893,1.3114251388701064,2.1541831967586296,-0.8427580578885232,145.19774999999998,153.65843833519253,136.73706166480744,0.4351264367324666,0.03678451922718042,0.027206589057858326,0.02008482920774076,-0.048593688102469335,-0.019994559303590842,0.007217210270645369,1,2024-02-06,1,2,1
2024-02-07,144.76,145.615,143.925,145.54,25208862,GOOGL,0.009993060374739793,0.9993060374739793,1.0117422268542644,-0.1345547910768674,143.37199999999999,146.5985,145.42725000000002,139.8033,1.0151215021064086,0.9927795986998502,1.000775301740217,53.472690492245455,1.2598710758396408,1.975320772574832,-0.7154496967351913,145.42725000000002,153.64841362297878,137.20608637702125,0.506857301786625,0.0027846562412387715,0.0271409823269347,0.01993884908094065,0.038829407566024265,-0.02125084061869531,0.0027483853236223155,1,2024-02-07,2,2,1
2024-02-08,145.83,146.33,145.105,145.91,22563764,GOOGL,0.0025422564243506862,0.2542256424350686,1.0084421625719309,-0.10492730691294194,144.322,146.0025,145.60875,139.9933,1.0110031734593479,0.9993664492046369,1.0020689003923184,49.13380022115739,1.234637880293377,1.8271841941185412,-0.5925463138251641,145.60875,153.6965549035504,137.52094509644957,0.518623718276622,0.0036077164869822327,0.025988971445792815,0.01985932149010444,0.03364975913856627,-0.039244090340422755,-0.021520115139469498,0,2024-02-08,3,2,1
2024-02-09,146.68,149.44,146.18,149.0,26829504,GOOGL,0.02117743814680284,2.117743814680284,1.0223012724038856,0.18905267755858457,145.64600000000002,145.684,145.95475,140.2293,1.0230284388174065,1.0227615935861178,1.0208643432296653,55.045256453234984,1.4472940617851577,1.7512061676518647,-0.3039121058667069,145.95475,153.99889103556117,137.9106089644388,0.6892837275314856,0.007546623832470197,0.027135562100302418,0.020324662683968604,0.046495294282904887,-0.020928475211091757,-0.05691275167785226,0,2024-02-09,4,2,1
2024-02-12,148.42,149.335,147.37,147.53,21564085,GOOGL,-0.009865771812080482,-0.9865771812080482,1.0133337857094389,-0.19625480217599256,146.416,145.086,146.19875,140.4801,1.007608458092012,1.0168451814785713,1.0091057550081652,50.80991735537191,1.4801466933039364,1.696994272782279,-0.21684757947834266,146.19875,154.11586395781643,138.28163604218355,0.5840741971817703,0.011372756948452488,0.026974122529457443,0.020509410726794314,0.026795657015590058,-0.03895511693049303,-0.04344879007659452,0,2024-02-12,0,2,1
2024-02-13,144.92,146.67,143.69,145.14,27837730,GOOGL,-0.01620009489595342,-1.620009489595342,1.0207390910988934,0.2909302666911209,146.624,144.454,146.33125,140.7323,0.989878873854212,1.0047489166101318,0.9918592235083071,44.25435765009684,1.2983628952824517,1.6172679972823139,-0.3189051019998621,146.33125,154.07379539609073,138.5887046039093,0.42307116464557654,0.015024062017173328,0.027102883818185614,0.02089939319253703,0.007217210270645369,-0.04172718869668568,-0.017844839465343654,0,2024-02-13,1,2,1
2024-02-14,146.08,146.52,144.094,145.94,22704166,GOOGL,0.005511919525974962,0.5511919525974962,1.0168362319041737,-0.18441029494861827,146.704,145.038,146.55474999999998,141.0139,0.9947922347038934,1.0062190598325955,0.9958053219018832,39.63649073750436,1.204961197171201,1.5348066372600915,-0.3298454400888904,146.55474999999998,153.95703376921603,139.15246623078394,0.4584756529764129,0.014518095155953323,0.010526401137388088,0.02082662897771213,0.0027483853236223155,0.041684511063526,-0.012676442373578123,0,2024-02-14,2,2,1
