date,Open,High,Low,Close,Volume,symbol
2023-11-20 00:00:00+00:00,133.69,136.66,133.62,136.25,27850762,GOOGL
2023-11-21 00:00:00+00:00,136.29,137.18,135.96,136.97,22635272,GOOGL
2023-11-22 00:00:00+00:00,137.47,139.42,137.47,138.49,17820456,GOOGL
2023-11-24 00:00:00+00:00,138.03,138.13,135.99,136.69,12514322,GOOGL
2023-11-27 00:00:00+00:00,136.03,138.42,136.0,136.41,23436526,GOOGL
2023-11-28 00:00:00+00:00,136.08,137.25,135.4222,137.2,18730032,GOOGL
2023-11-29 00:00:00+00:00,137.57,138.288,134.84,134.99,23967222,GOOGL
2023-11-30 00:00:00+00:00,135.05,135.55,131.28,132.53,38988263,GOOGL
2023-12-01 00:00:00+00:00,131.86,132.11,130.665,131.86,31442263,GOOGL
2023-12-04 00:00:00+00:00,129.88,130.03,127.9,129.27,36669876,GOOGL
2023-12-05 00:00:00+00:00,128.95,132.14,128.25,130.99,27384784,GOOGL
2023-12-06 00:00:00+00:00,131.44,131.84,129.875,130.02,22897543,GOOGL
2023-12-07 00:00:00+00:00,135.04,138.56,134.7,136.93,56767100,GOOGL
2023-12-08 00:00:00+00:00,134.2,136.4,134.025,134.99,32260112,GOOGL
2023-12-11 00:00:00+00:00,132.38,133.335,131.36,133.29,31138011,GOOGL
2023-12-12 00:00:00+00:00,131.81,133.0,131.26,132.52,29032831,GOOGL
2023-12-13 00:00:00+00:00,133.38,133.5,131.57,132.57,30104775,GOOGL
2023-12-14 00:00:00+00:00,133.38,133.72,129.685,131.94,38722413,GOOGL
2023-12-15 00:00:00+00:00,131.62,133.51,131.18,132.6,50847113,GOOGL
2023-12-18 00:00:00+00:00,132.63,137.1478,132.43,135.8,32257967,GOOGL
2023-12-19 00:00:00+00:00,136.84,137.47,136.08,136.65,25436155,GOOGL
2023-12-20 00:00:00+00:00,138.97,141.695,138.065,138.34,49107179,GOOGL
2023-12-21 00:00:00+00:00,139.49,140.685,139.18,140.42,27488284,GOOGL
2023-12-22 00:00:00+00:00,140.77,141.99,140.71,141.49,26532199,GOOGL
2023-12-26 00:00:00+00:00,141.59,142.68,141.19,141.52,16780333,GOOGL
2023-12-27 00:00:00+00:00,141.59,142.08,139.886,140.37,19567216,GOOGL
2023-12-28 00:00:00+00:00,140.78,141.14,139.75,140.23,16045712,GOOGL
2023-12-29 00:00:00+00:00,139.63,140.36,138.78,139.69,18733017,GOOGL
2024-01-02 00:00:00+00:00,138.55,139.45,136.48,138.17,23711220,GOOGL
2024-01-03 00:00:00+00:00,137.25,139.63,137.08,138.92,24212147,GOOGL
2024-01-04 00:00:00+00:00,138.42,139.16,136.35,136.39,27137735,GOOGL
2024-01-05 00:00:00+00:00,136.745,137.1558,135.15,135.73,21661914,GOOGL
2024-01-08 00:00:00+00:00,136.29,139.01,136.26,138.84,21403982,GOOGL
2024-01-09 00:00:00+00:00,138.5,141.485,138.15,140.95,24759598,GOOGL
