date,Open,High,Low,Close,Volume,symbol
2024-11-14 00:00:00+00:00,425.0,428.17,420.0,426.89,30246881,MSFT
2024-11-15 00:00:00+00:00,419.82,422.8,413.64,415.0,28247644,MSFT
2024-11-18 00:00:00+00:00,414.87,418.4037,412.1,415.76,24742013,MSFT
2024-11-19 00:00:00+00:00,413.11,417.94,411.55,417.79,18133529,MSFT
2024-11-20 00:00:00+00:00,416.87,417.29,410.58,415.49,19191655,MSFT
2024-11-21 00:00:00+00:00,419.5,419.78,410.2887,412.87,20780162,MSFT
2024-11-22 00:00:00+00:00,411.365,417.4,411.06,417.0,24814626,MSFT
2024-11-25 00:00:00+00:00,418.38,421.08,414.85,418.79,27691090,MSFT
2024-11-26 00:00:00+00:00,419.585,429.0414,418.85,427.99,23458889,MSFT
2024-11-27 00:00:00+00:00,425.105,427.2299,422.02,422.99,18332444,MSFT
2024-11-29 00:00:00+00:00,420.09,424.88,417.8,423.46,16271921,MSFT
2024-12-02 00:00:00+00:00,421.57,433.0,421.31,430.98,20207223,MSFT
2024-12-03 00:00:00+00:00,429.84,432.47,427.74,431.2,18301987,MSFT
2024-12-04 00:00:00+00:00,433.03,439.67,432.63,437.42,26009429,MSFT
2024-12-05 00:00:00+00:00,437.92,444.66,436.171,442.62,21697775,MSFT
2024-12-06 00:00:00+00:00,442.3,446.1,441.7703,443.57,18821002,MSFT
2024-12-09 00:00:00+00:00,442.6,448.33,440.5,446.02,19144388,MSFT
2024-12-10 00:00:00+00:00,444.39,449.62,441.6,443.33,18469459,MSFT
2024-12-11 00:00:00+00:00,444.05,450.35,444.05,448.99,19200208,MSFT
2024-12-12 00:00:00+00:00,449.11,456.1648,449.11,449.56,20834779,MSFT
2024-12-13 00:00:00+00:00,448.435,451.43,445.58,447.27,20177833,MSFT
2024-12-16 00:00:00+00:00,447.27,452.18,445.28,451.59,23598834,MSFT
2024-12-17 00:00:00+00:00,451.01,455.29,449.57,454.46,22733494,MSFT
2024-12-18 00:00:00+00:00,451.32,452.65,437.02,437.39,24444545,MSFT
2024-12-19 00:00:00+00:00,441.62,443.1834,436.32,437.03,22963681,MSFT
2024-12-20 00:00:00+00:00,433.11,443.74,428.63,436.6,64263694,MSFT
2024-12-23 00:00:00+00:00,436.74,437.65,432.83,435.25,19152519,MSFT
2024-12-24 00:00:00+00:00,434.65,439.6,434.19,439.33,7164543,MSFT
2024-12-26 00:00:00+00:00,439.08,440.94,436.63,438.11,8199927,MSFT
2024-12-27 00:00:00+00:00,434.6,435.22,426.35,430.53,18117713,MSFT
2024-12-30 00:00:00+00:00,426.06,427.55,421.9,424.83,13158703,MSFT
2024-12-31 00:00:00+00:00,426.1,426.73,420.66,421.5,13246509,MSFT
2025-01-02 00:00:00+00:00,425.53,426.07,414.85,418.58,16896469,MSFT
2025-01-03 00:00:00+00:00,421.08,424.03,419.54,423.35,16662943,MSFT
2025-01-06 00:00:00+00:00,428.0,434.32,425.4774,427.85,20573648,MSFT
2025-01-07 00:00:00+00:00,429.0,430.65,420.8,422.37,18139065,MSFT
2025-01-08 00:00:00+00:00,423.46,426.97,421.54,424.56,15054575,MSFT
