date,Open,High,Low,Close,Volume,symbol
2024-11-19 00:00:00+00:00,335.76,347.3799,332.75,346.0,88852452,TSLA
2024-11-20 00:00:00+00:00,345.0,346.5999,334.3,342.03,66340650,TSLA
2024-11-21 00:00:00+00:00,343.81,347.9899,335.28,339.64,58011719,TSLA
2024-11-22 00:00:00+00:00,341.085,361.53,337.7,352.56,89140722,TSLA
2024-11-25 00:00:00+00:00,360.14,361.93,338.2,338.59,95890899,TSLA
2024-11-26 00:00:00+00:00,341.0,346.96,335.66,338.23,62295857,TSLA
2024-11-27 00:00:00+00:00,341.8,342.55,326.59,332.89,57896439,TSLA
2024-11-29 00:00:00+00:00,336.08,345.45,334.65,345.16,37167621,TSLA
2024-12-02 00:00:00+00:00,352.38,360.0,351.1501,357.09,77986478,TSLA
2024-12-03 00:00:00+00:00,351.8,355.69,348.2,351.42,58267196,TSLA
2024-12-04 00:00:00+00:00,353.0,358.1,348.6,357.93,50810874,TSLA
2024-12-05 00:00:00+00:00,359.87,375.43,359.5,369.49,81403569,TSLA
2024-12-06 00:00:00+00:00,377.42,389.49,370.8,389.22,81455834,TSLA
2024-12-09 00:00:00+00:00,397.61,404.8,378.01,389.79,96359173,TSLA
2024-12-10 00:00:00+00:00,392.68,409.73,390.85,400.99,97563578,TSLA
2024-12-11 00:00:00+00:00,409.7,424.88,402.38,424.77,104287559,TSLA
2024-12-12 00:00:00+00:00,424.84,429.3,415.0,418.1,87752225,TSLA
2024-12-13 00:00:00+00:00,420.0,436.3,415.71,436.23,89000158,TSLA
2024-12-16 00:00:00+00:00,441.09,463.19,436.15,463.02,114083811,TSLA
2024-12-17 00:00:00+00:00,475.9,483.99,457.5101,479.86,131222978,TSLA
2024-12-18 00:00:00+00:00,466.495,488.5399,427.01,440.13,149340788,TSLA
2024-12-19 00:00:00+00:00,451.88,456.36,420.02,436.17,118566146,TSLA
2024-12-20 00:00:00+00:00,425.505,447.08,417.64,421.06,132216176,TSLA
2024-12-23 00:00:00+00:00,431.0,434.51,415.4112,430.6,72698055,TSLA
2024-12-24 00:00:00+00:00,435.9,462.78,435.14,462.28,59551750,TSLA
2024-12-26 00:00:00+00:00,465.16,465.3299,451.02,454.13,76651210,TSLA
2024-12-27 00:00:00+00:00,449.52,450.0,426.5,431.66,82666821,TSLA
2024-12-30 00:00:00+00:00,419.4,427.0,415.75,417.41,64941012,TSLA
2024-12-31 00:00:00+00:00,423.79,427.93,402.54,403.84,76825121,TSLA
