date,Open,High,Low,Close,Volume,symbol,daily_return,volatility_10d,MA_5,MA_20,MA_50,RSI_14,volume_MA_5,volume_ratio,target_3d
2025-04-10,156.10888048544342,157.28563866565491,149.51708388683267,152.39913940429688,48022000,GOOGL,-0.037111714025853226,0.04235092819652876,149.3036895751953,158.0161277770996,171.27679656982423,40.708690179368034,61936400.0,0.7753437397071835,0.02283734980170471
2025-04-11,152.47891611104427,157.2357840662013,152.39914981719627,156.70724487304688,33636200,GOOGL,0.02826856821888679,0.04050950626930446,151.60533447265624,157.5997772216797,170.40921417236328,41.323665405526725,56211740.0,0.5983838963177442,-0.024245942002144916
2025-04-14,159.559374308141,161.27463879929493,157.126091415259,158.63194274902344,30333000,GOOGL,0.012282124400411876,0.04062513641792839,154.06255187988282,157.3394973754883,169.5173715209961,40.39138571651215,46919520.0,0.6464899896674134,-0.0497266139052297
2025-04-15,158.6917731015249,159.2103301054895,154.78257030571797,155.87953186035156,27551500,GOOGL,-0.017350924668599332,0.04086992299357896,156.37815551757814,157.12209854125976,168.6260629272461,42.33129410250152,41989780.0,0.6561477578591743,-0.05527490423828141
2025-04-16,152.67836778458886,155.46067741277207,151.09273508921532,152.90773010253906,28187400,GOOGL,-0.01906473365903394,0.04132545964788183,155.30511779785155,156.59555282592774,167.57272003173827,42.212881610510216,33546020.0,0.8402606330050479,-0.012130672896541572
2025-04-17,153.86508310192784,154.25400844452392,148.09103529003713,150.74371337890625,33046600,GOOGL,-0.014152435080827086,0.03939618944004219,154.97403259277343,156.01515579223633,166.7759225463867,46.920520784530105,30550940.0,1.0816884848714965,0.027719011978775576
2025-04-21,148.46997994299036,148.5397792458497,145.69763745597456,147.2633056640625,26049100,GOOGL,-0.02308824452330871,0.03846322089614902,153.08524475097656,155.20140228271484,165.90413787841797,43.623044723198966,29033520.0,0.8972077791463109,0.07862140981994914
2025-04-22,148.47995987784566,151.77087479980403,148.13091768280205,151.0528564453125,26971800,GOOGL,0.02573316390095659,0.03917133099995473,151.56942749023438,154.39313430786132,165.23285583496093,45.001787655969224,28361280.0,0.951007852960092,0.06925470230519015
2025-04-23,155.1814586711159,157.09616926384234,153.38641273519517,154.92218017578125,31128800,GOOGL,0.025615693880437274,0.039172142457288936,151.37795715332032,153.6347297668457,164.61644836425782,48.58862033132985,29076740.0,1.0705739364179065,0.03385902464104129
2025-04-24,155.7199692710382,159.15049822016638,155.36096007364648,158.8413543701172,45894000,GOOGL,0.025297695848903512,0.025120417582713682,152.56468200683594,153.3465263366699,164.1013342285156,57.44605749980234,32618060.0,1.4070119436900907,0.0055248756775689856
2025-04-25,164.61541287682232,165.6425750916004,160.59649729347288,161.51397705078125,56034000,GOOGL,0.01682573591280634,0.021666319913116544,154.71873474121094,153.33256454467772,163.67373962402343,64.86191509939339,37215540.0,1.5056613446963285,-0.019511043006221973
2025-04-28,161.98267405118585,162.70069244870191,158.16323494184564,160.16769409179688,29745800,GOOGL,-0.008335396004527151,0.02055663807916033,157.29961242675782,153.64569931030275,163.1688168334961,62.545253199093025,37954880.0,0.7837147686937753,0.004295996379831912
2025-04-29,159.87849612757626,160.29733764803302,157.086204107764,159.71893310546875,26809000,GOOGL,-0.0028018196108319238,0.020300827530112812,159.03282775878907,153.92093963623046,162.67304809570314,64.41086649813988,37922320.0,0.7069451447063365,0.02416325446579548
2025-04-30,157.5449218586139,158.83137774482094,154.9720253029664,158.3626708984375,34981100,GOOGL,-0.008491555638777348,0.0195985766179211,159.7209259033203,154.00720138549804,162.1792398071289,50.10978271905777,38692780.0,0.9040730596250773,0.034068073324201587
2025-05-01,160.00810878606782,161.50397770313938,158.47235672658454,160.85577392578125,30203200,GOOGL,0.015742996838836065,0.018553423140688495,160.12380981445312,154.2196144104004,161.70541046142577,61.276558860441156,35554620.0,0.849487352135953,0.011965363934431261
