date,Open,High,Low,Close,Volume,symbol,daily_return,volatility_10d,MA_5,MA_20,MA_50,RSI_14,volume_MA_5,volume_ratio,target_3d
2025-04-02,573.612639602056,591.3225852084037,572.0661494891557,582.6123046875,13470800,META,-0.0035323870347052644,0.02313769235288928,583.80166015625,599.0027618408203,648.9299548339844,47.91517601418325,15094280.0,0.8924440251538993,-0.11590431951323765
2025-04-03,544.9873786131755,551.3130986556911,529.1033205063213,530.4203491210938,34777500,META,-0.08958265238562169,0.03652992769676902,569.6416625976562,594.2259704589844,647.1075610351562,29.258556523638504,19962480.0,1.7421432607571805,-0.03982161019616226
2025-04-04,505.4767837476822,516.8311091249631,493.0848271014097,503.591064453125,38589800,META,-0.050581175312042315,0.03736325734717736,555.2721557617188,588.2208618164062,644.4903955078125,25.845170190532443,24159880.0,1.597267867224506,0.16056106314560115
2025-04-07,484.0053216518451,538.1528441381656,480.8125306436679,515.0850219726562,36606100,META,0.02282399019929615,0.03519275042424927,543.2772705078125,584.1696014404297,641.8830041503907,33.1635201371966,27256160.0,1.3430395184061144,0.05818889644493952
2025-04-08,542.0241297513288,546.1946900687835,501.72525715038495,509.29815673828125,28034200,META,-0.011234776760179588,0.033769835481337045,528.2013793945313,579.4442077636719,638.9128527832031,31.636954967157862,30295680.0,0.9253530536366901,0.0648838536200762
2025-04-09,508.1207792653783,586.563392325636,500.9769327422793,584.4481811523438,39216600,META,0.14755605026208785,0.06259298609458583,528.5685546875,577.7859954833984,637.1576086425781,49.958009167607436,35444840.0,1.1064121039903128,-0.09268140823357374
2025-04-10,574.1913720884271,579.9882591353082,534.0920601322453,545.0572509765625,28173500,META,-0.06739849903906792,0.06587628326909005,531.4959350585938,575.5996887207032,634.5714831542969,41.75686508198452,34124040.0,0.8256202958383592,-0.04534211818793221
2025-04-11,534.3015744722139,546.1647580379857,527.3972072394978,542.3433837890625,17642300,META,-0.004979049783555123,0.06471860765410202,539.2463989257812,572.4054138183594,631.7215417480469,36.707157890279646,29934540.0,0.5893626559820194,-0.07590554498807867
2025-04-14,554.9149903570471,556.5114165099282,527.0879701726936,530.2807006835938,14130900,META,-0.022241781620332968,0.0649510761907709,542.2855346679687,568.7426971435547,628.5868835449219,33.52442668275337,25439500.0,0.5554708229328407,-0.05644616515957024
2025-04-15,530.9092700648307,536.7261316213554,516.3322523952014,520.3432006835938,15558700,META,-0.01874007480790718,0.06452434462636875,544.4945434570312,565.7075622558593,625.0883947753906,34.161879359424276,22944400.0,0.6781044612192954,-0.07067807443324892
2025-04-16,507.36253528750194,512.2115538752881,494.5115946838527,501.176513671875,18735100,META,-0.0368347025319804,0.06502290558872242,527.8402099609375,561.6292846679687,621.0723962402344,32.90247329890292,18848100.0,0.9940047007390665,-0.004041272026418352
2025-04-17,504.109870459736,506.1552323217004,496.8862177349848,500.348388671875,14593500,META,-0.0016523619471565665,0.0592207011689263,518.8984375,557.4128234863281,617.0262780761718,35.97045200971766,16132100.0,0.904624940336348,0.037469253601128516
2025-04-21,490.22127698998224,492.38639367876976,478.71729620364266,483.56634521484375,16166000,META,-0.03354071650271029,0.05797395966548684,507.1430297851563,551.8459167480469,612.5025671386719,33.89304587821955,15836840.0,1.020784449422991,0.10004971757915904
2025-04-22,490.7600964557397,505.73623631689287,485.2625199601335,499.151123046875,17399400,META,0.03222883061704196,0.05850650306151946,500.9171142578125,545.9307983398437,608.2401086425781,35.25324040884864,16490540.0,1.0551140229489149,0.09392740996310622
2025-04-23,527.3374410103529,534.1320723212986,515.3545309290855,519.0960693359375,18173900,META,0.03995773097196764,0.059803211885533225,500.6676879882813,540.6407653808594,604.3191296386718,39.68435606551735,17013580.0,1.06819963817139,0.05664354657978321
2025-04-24,517.5595150131655,532.6953291798529,516.3323098797614,531.947021484375,13910000,META,0.024756404271905286,0.03393408719723287,506.82178955078126,536.7580535888671,600.6073229980469,50.28427255524807,16048560.0,0.8667444306529682,0.03993232684139136
2025-04-25,545.566124111354,548.6192167322417,535.0399425493104,546.0350952148438,17098900,META,0.02648397897060617,0.028483571252536248,515.959130859375,533.9987915039062,597.0660278320313,58.296933488565095,16549640.0,1.0331886373359178,0.0031611049067659103
2025-04-28,554.3862228326028,557.2297674992926,539.3701950695558,548.49951171875,15179000,META,0.0045132932397624614,0.028437198920133022,528.9457641601563,532.6518371582031,593.5106213378906,56.77086798870975,16352240.0,0.928252031525956,0.040873895134720284
2025-04-29,544.7679463052672,555.3141023170735,542.8921836696377,553.1889038085938,11835000,META,0.008549491822060773,0.02722276173644604,539.7533203125,531.5583099365234,589.8873132324219,58.93343324715104,15239360.0,0.7766074165844234,0.07679826450135363
2025-04-30,537.1851129255415,547.8609194224242,528.305171612182,547.7611694335938,29244000,META,-0.009811719536728103,0.026510317625781134,545.4863403320312,529.7124877929688,586.5601745605469,39.57353271775059,17453380.0,1.6755493778282486,0.09156646723907991
2025-05-01,590.7439814787114,591.6120134415539,569.2126599544815,570.9188232421875,31159000,META,0.042276917570735595,0.024187132561089075,553.2807006835938,529.1278137207031,583.9473950195312,58.09698124139597,20903180.0,1.4906344393532467,0.02638879000001504
2025-05-02,582.1434519633877,602.976341384666,577.025022870384,595.6728515625,24739300,META,0.04335822767190778,0.02524464031148136,563.208251953125,532.3904388427734,582.0077355957031,64.67199218702773,22431260.0,1.1028939078767754,-0.0003518621438138858
2025-05-05,589.8858412822701,601.8488361583287,586.7230116613694,597.917724609375,13887700,META,0.0037686341437024318,0.018713258021755903,573.09189453125,537.1067718505859,580.3380627441406,69.67093718059456,22173000.0,0.6263338294321923,-0.0021025319396620334
2025-05-06,591.1929324469492,594.685034384837,585.256346973055,585.9846801757812,10600700,META,-0.019957669663313138,0.02234639588786882,579.6510498046875,540.6517547607422,578.7371606445313,68.87152336659821,21926140.0,0.4834731512249762,0.008819914813109397
2025-05-07,589.0277995025451,601.7191276587725,585.3461237925522,595.4632568359375,13139100,META,0.01617546837114059,0.020769311646326387,589.1914672851562,544.960009765625,577.5377624511718,78.70593840612297,18705160.0,0.7024318423365531,0.07141307924194895
2025-05-08,604.9218677784463,609.9205723172726,595.2737054544873,596.6605834960938,14622800,META,0.0020107481803635086,0.020707213905668546,594.3398193359375,545.5706298828125,576.0393286132812,79.2568223256628,15397920.0,0.9496607333977576,0.09702182567833861
