date,Open,High,Low,Close,Volume,daily_return,volatility_10d,MA_5,MA_20,MA_50,RSI_14,volume_MA_5,volume_ratio,target_3d,symbol
2024-07-15,60815.45703125,64870.15234375,60704.9296875,64870.15234375,38094526099,0.06715755212726138,0.02850313077689239,60026.85546875,59587.0314453125,64070.959765625,54.89019836343446,26342122605.8,1.4461448938291845,-0.013813532188911792,BTC-USD
2024-07-16,64784.41796875,65354.33984375,62487.96875,65097.1484375,41617346768,0.003499237870556282,0.02815123094857332,61577.30234375,59801.325,63985.011640625,57.65544279309889,28924031191.0,1.4388501551937771,0.02477847111918674,BTC-USD
2024-07-17,65091.83203125,66066.734375,63896.0859375,64118.79296875,32525071311,-0.01502916014346345,0.02331850606517091,62821.16796875,59927.024609375,63901.463125,60.29338827559931,30308084409.0,1.0731483676791418,0.04748772283087099,BTC-USD
2024-07-18,64104.73828125,65104.66015625,63246.1640625,63974.06640625,27239305337,-0.0022571629283560934,0.023875570139946838,63769.590625,60109.72109375,63829.382578125,71.71344879933255,32339933115.2,0.842280818577121,0.06534612017161989,BTC-USD
2024-07-19,63972.32421875,67442.640625,63329.34375,66710.15625,37003855410,0.042768734230136385,0.02560789465567511,64954.06328125,60400.8599609375,63796.285859375,77.11010812289763,35296020985.0,1.0483860326841314,0.013117848903254625,BTC-USD
2024-07-20,66709.921875,67610.734375,66299.6171875,67163.6484375,19029581250,0.0067979482134701286,0.024914636602557907,65412.7625,60625.127734375,63789.730546875,75.5426461519612,31483032015.2,0.6044392814774804,-0.018402463106961142,BTC-USD
2024-07-21,67164.9140625,68372.90625,65842.296875,68154.5234375,26652190004,0.014753144342986024,0.023662598186571144,66024.2375,60890.2548828125,63798.682265625,88.74451090341454,28490000662.4,0.9354927828827511,-0.04082473891188665,BTC-USD
2024-07-22,68152.9765625,68480.0625,66611.296875,67585.25,42649109453,-0.00835268752223095,0.024988352899771252,66717.52890625,61168.0666015625,63795.355234375,84.8868455457544,30514808290.8,1.3976528722239558,-0.026751745943086713,BTC-USD
2024-07-23,67584.8046875,67779.015625,65484.4609375,65927.671875,35605668666,-0.02452573786440093,0.027836354927372273,67108.25,61455.7541015625,63737.813046875,74.82747961011323,32188080956.6,1.106175565856443,0.030099510092855164,BTC-USD
2024-07-24,65927.859375,67113.984375,65146.99609375,65372.1328125,27470942309,-0.008426492953570563,0.027899016990100948,66840.6453125,61875.4755859375,63633.900390625,73.49641548560264,30281498336.4,0.9071857014412804,0.037343176977288506,BTC-USD
2024-07-25,65375.875,66112.421875,63473.47265625,65777.2265625,38315761670,0.00619673448871394,0.01853866802920278,66563.3609375,62331.2181640625,63527.788515625,75.95634631099345,34138734420.4,1.1223544844446245,0.037682352305396405,BTC-USD
2024-07-26,65771.8125,68207.6015625,65743.765625,67912.0625,30488630457,0.032455548053117234,0.020979046156829603,66514.86875,62811.6443359375,63470.886484375,78.08812387583399,34906022511.0,0.8734490000226196,-0.016081803398328542,BTC-USD
2024-07-27,67911.8125,69398.5078125,66705.21875,67813.3359375,34691905492,-0.0014537411892032726,0.019995538759651873,66560.4859375,63409.8556640625,63440.301484375,75.86345981053849,33314581718.8,1.0413429706194617,-0.02377585898422685,BTC-USD
2024-07-28,67808.65625,68301.8515625,67085.828125,68255.8671875,18043166945,0.006525726007755361,0.019794403833430965,67026.125,63987.394140625,63419.303359375,74.12718448390791,29802081374.6,0.6054331144930704,-0.05327918811008803,BTC-USD
2024-07-29,68259.0546875,69987.5390625,66532.59375,66819.9140625,40780682628,-0.021037797689324123,0.016945474095125652,67315.68125,64427.928515625,63362.741796875,57.59840852343601,32464029438.4,1.2561805584048253,-0.021885901576169764,BTC-USD
2024-07-30,66819.0546875,66987.671875,65323.19140625,66201.015625,31380492109,-0.009262185475442442,0.01702137464031463,67400.4390625,64850.8544921875,63296.516484375,54.17436770715405,31076975526.2,1.009766606230523,-0.07229419629844236,BTC-USD
2024-07-31,66201.2734375,66810.2109375,64532.046875,64619.25,31292785994,-0.023893373992326827,0.017352428941533535,66741.8765625,65214.5712890625,63242.260859375,51.80992157482122,31237806633.6,1.0017600262734472,-0.0609594857569532,BTC-USD
2024-08-01,64625.83984375,65593.2421875,62248.94140625,65357.5,40975554494,0.011424614182306447,0.018062826779861114,66250.709375,65587.473046875,63184.587109375,54.79729164109938,32494536434.0,1.2609982781944247,-0.11078335979038367,BTC-USD
2024-08-02,65353.5,65523.22265625,61184.89453125,61415.06640625,43060875727,-0.06032105869640059,0.024980687500914894,64882.54921875,65696.6287109375,63077.76046875,33.055979368324955,37498078190.4,1.1483488702635472,-0.1208760294403024,BTC-USD
2024-08-03,61414.80859375,62148.37109375,59836.52734375,60680.09375,31753030589,-0.011967302150066583,0.025031672847116763,63654.58515625,65691.24375,62971.14046875,29.62008505639075,35692547782.6,0.8896263383159075,-0.07656180234148036,BTC-USD
2024-08-04,60676.09375,61062.98828125,57210.8046875,58116.9765625,31758917219,-0.04223983565450573,0.02679019780825218,62037.77734375,65353.5849609375,62809.66,21.28678751428056,35768232804.6,0.8879084799212004,-0.05316029511062881,BTC-USD
2024-08-05,58110.296875,58268.828125,49121.23828125,53991.45703125,108991085584,-0.07098647891315102,0.027683301313813875,59912.21875,64798.300390625,62556.708203125,17.688010154103566,51307892722.6,2.124255739234284,0.14296112962894236,BTC-USD
2024-08-06,53991.34765625,57059.91796875,53973.2734375,56034.31640625,49300484106,0.03783671505322772,0.033210493664208834,58047.58203125,64394.0765625,62347.58859375,26.90680125835962,52972878645.0,0.9306740612755688,0.08647909327326975,BTC-USD
2024-08-07,56040.6328125,57726.8828125,54620.5078125,55027.4609375,41637562185,-0.017968550940289485,0.03205154961825604,56770.0609375,63946.7462890625,62145.322890625,26.351589803085588,52688215936.6,0.7902632769935253,0.10755269208626661,BTC-USD
2024-08-08,55030.02734375,62673.765625,54766.7265625,61710.13671875,45298472567,0.12144256099404904,0.05523723981495262,56976.06953125,63696.7453125,62080.3196875,42.77588397285965,55397304332.2,0.8177017476402729,-0.04846290257596075,BTC-USD
2024-08-09,61728.20703125,61751.86328125,59587.859375,60880.11328125,33425553115,-0.013450358103773374,0.055275586926597474,57528.696875,63382.5685546875,62001.348828125,36.902479594273345,55730631511.4,0.5997698609993791,-0.025059047594115702,BTC-USD
2024-08-10,60881.23046875,61464.51171875,60287.56640625,60945.8125,15745822278,0.001079157301276501,0.054991568264448336,58919.56796875,63022.1330078125,61938.34109375,37.1929779575562,37081578850.2,0.4246265333417721,-0.005517132021990889,BTC-USD
2024-08-11,60944.890625,61778.66015625,58348.82421875,58719.484375,22759754812,-0.036529632368097475,0.0555353265760975,59456.6015625,62578.8447265625,61827.67921875,33.32529188938871,31773432991.4,0.7163139978660883,0.00030288338597150855,BTC-USD
2024-08-12,58719.39453125,60680.33203125,57688.8984375,59354.515625,37078637820,0.010814659848586317,0.052762007917999974,60322.0125,62250.1869140625,61751.15359375,36.57033347790292,30861648118.4,1.201447106056963,-0.030232206427006747,BTC-USD
2024-08-13,59356.20703125,61572.3984375,58506.25390625,60609.56640625,30327698167,0.021144992390795814,0.05311853257166116,60101.8984375,62012.05859375,61757.796640625,40.166488303679365,27867493238.4,1.0882822472604017,-0.028303468234729068,BTC-USD
2024-08-14,60611.05078125,61687.7578125,58472.875,58737.26953125,29961696180,-0.0308911115194338,0.052202694626254084,59673.3296875,61660.0607421875,61696.44921875,39.760180235440366,27174721851.4,1.1025576027545032,0.012627470274310104,BTC-USD
2024-08-15,58733.26171875,59838.6484375,56161.59375,57560.09765625,35682112440,-0.020041310813293967,0.04642790540021854,58996.18671875,61142.4625,61631.425625,36.629984665709934,31161979883.8,1.145052803867249,0.01605047984833785,BTC-USD
2024-08-16,57560.2734375,59847.359375,57110.01953125,58894.10546875,29350938673,0.023175912946963972,0.04558178857083882,59031.1109375,60696.5009765625,61577.21171875,45.25271537801087,32480216656.0,0.9036558771715603,0.010176700222877422,BTC-USD
2024-08-17,58893.53125,59694.66796875,58814.83203125,59478.97265625,13589684021,0.00993082725079053,0.04480729785040351,59056.00234375,60257.65625,61560.3884375,47.725279025742054,27782425896.2,0.48914677471914925,-0.00783772258801807,BTC-USD
2024-08-18,59468.1328125,60262.71875,58445.40234375,58483.96484375,17740625837,-0.016728732324455264,0.021309591885521867,58630.88203125,59840.8587890625,61512.32015625,50.738900758791125,25265011430.2,0.7021815876083125,0.0460164862230199,BTC-USD
2024-08-19,58480.7109375,59612.66015625,57864.7109375,59493.453125,25911207712,0.01726094125025579,0.022175805772564238,58782.11875,59505.4806640625,61448.623359375,62.66727461915284,24454913736.6,1.0595501579390347,0.014933759780816125,BTC-USD
2024-08-20,59493.453125,61396.328125,58610.8828125,59012.79296875,31613400008,-0.008079210921579816,0.022219982761957375,59072.6578125,59225.1578125,61371.839609375,57.38886707462146,23641171250.2,1.3372180114694003,0.08610950684355712,BTC-USD
2024-08-21,59014.98828125,61834.3515625,58823.4453125,61175.19140625,32731154072,0.03664287570061453,0.02199648805013058,59528.875,59016.0423828125,61354.763125,64.42404153868516,24317214330.0,1.3460075495415516,0.04910161639384936,BTC-USD
2024-08-22,61168.31640625,61408.109375,59815.25390625,60381.9140625,27625734377,-0.012967304646127387,0.022496576133552704,59709.46328125,58964.384765625,61358.92296875,45.69354750871043,27124424401.2,1.0184818659517,0.06544391590766319,BTC-USD
2024-08-23,60380.953125,64947.0625,60372.05078125,64094.35546875,42530509233,0.061482671821355916,0.02899858687786417,60831.54140625,59135.0978515625,61501.256015625,58.78029448408943,32082401080.4,1.3256647819599459,-0.018936071727747583,BTC-USD
2024-08-24,64103.87109375,64513.7890625,63619.91796875,64178.9921875,21430585163,0.0013205019089592707,0.026091353734431947,61768.64921875,59438.1986328125,61651.588359375,58.82289735944342,31186276570.6,0.6871799881106387,-0.07284095956730385,BTC-USD
2024-08-25,64176.3671875,64996.421875,63833.51953125,64333.54296875,18827683555,0.0024081210374646833,0.024192558581782764,62832.79921875,59955.3029296875,61772.1884375,67.27308389662392,28629133280.0,0.6576407106306922,-0.08247514008869916,BTC-USD
2024-08-26,64342.2265625,64489.70703125,62849.55859375,62880.66015625,27682040631,-0.022583597070127692,0.025988086503992557,63173.89296875,60297.6201171875,61912.819453125,60.32924775442678,27619310591.8,1.0022712384145687,-0.05554140907668037,BTC-USD
2024-08-27,62879.70703125,63210.796875,58116.75,59504.1328125,39103882198,-0.05369739018896724,0.03220152965582442,62998.33671875,60521.4537109375,61968.80015625,47.119798806968475,29914940156.0,1.307168992954077,-0.006464361916038164,BTC-USD
2024-08-28,59507.92578125,60236.44921875,57890.67578125,59027.625,40289564698,-0.00800797843742207,0.03179848921063836,61984.990625,60387.328125,61989.168125,50.815860742907326,29466751249.0,1.3672889948927536,-0.000977958413539426,BTC-USD
2024-08-29,59027.46875,61184.08203125,58786.2265625,59388.1796875,32224990582,0.006108236397788236,0.03137225145374398,61026.828125,60312.7314453125,62022.081796875,55.38373966568031,31625632332.8,1.0189516605673805,-0.03473235612042436,BTC-USD
2024-08-30,59388.6015625,59896.88671875,57768.53125,59119.4765625,32292756405,-0.004524521990973862,0.03128725324333432,59984.01484375,60221.4146484375,62057.573046875,50.70815722992998,34318646902.8,0.9409682292096805,-0.00011833822213569434,BTC-USD
2024-08-31,59117.48046875,59432.59375,58768.78515625,58969.8984375,12403470760,-0.002530098940268344,0.028613728741235214,59201.8625,60233.9353515625,62078.98171875,48.35540753330186,31262932928.6,0.3967468691542066,-0.026095941162778136,BTC-USD
2024-09-01,58969.80078125,59062.0703125,57217.82421875,57325.48828125,24592449997,-0.027885585694078285,0.02954746419767626,58766.13359375,60132.483984375,62040.852421875,46.40818483805161,28360646488.4,0.8671329127514332,0.011269869662170917,BTC-USD
2024-09-02,57326.96875,59403.0703125,57136.02734375,59112.48046875,27036454524,0.031172733823612075,0.022771320362906338,58783.1046875,60057.6296875,62007.346171875,48.8731367512776,25710024453.6,1.0515919412209767,-0.049938560589765424,BTC-USD
2024-09-03,59106.19140625,59815.05859375,57425.16796875,57431.0234375,26666961053,-0.02844504270361159,0.023380727033569013,58391.6734375,59992.3173828125,61858.56359375,45.63165783468278,24598418547.8,1.0840924997345003,-0.060633945258517286,BTC-USD
2024-09-04,57430.34765625,58511.5703125,55673.1640625,57971.5390625,35627680312,0.00941156177702851,0.02391896663158901,58162.0859375,60012.889453125,61716.05140625,40.28197078577714,25265403329.2,1.4101370101946482,-0.06609884133607047,BTC-USD
2024-09-05,57971.703125,58300.58203125,55712.453125,56160.48828125,31030280656,-0.031240343288065575,0.02456887006990013,57600.20390625,59876.20859375,61556.8853125,37.93934074921091,28990765308.4,1.0703505176874049,-0.023484871933357798,BTC-USD
2024-09-06,56160.19140625,56976.109375,52598.69921875,53948.75390625,49361693566,-0.03938239218868078,0.02209482179734022,56924.85703125,59599.69765625,61356.3790625,18.29519636838242,33944614022.2,1.4541833804242736,0.05692033694302334,BTC-USD
2024-09-07,53949.0859375,54838.14453125,53740.0703125,54139.6875,19061486526,0.003539165966313096,0.022481689735153,55930.2984375,59382.4837890625,61104.9696875,18.834420909004038,32349620422.6,0.5892336997154786,0.06481425363786952,BTC-USD
2024-09-08,54147.93359375,55300.859375,53653.7578125,54841.56640625,18268287531,0.012964221602682846,0.023069390959809536,55412.40703125,59149.889453125,60858.528046875,21.50194424389811,30669885718.2,0.5956425041440342,0.04561513524648175,BTC-USD
2024-09-09,54851.88671875,58041.125,54598.43359375,57019.53515625,34618096173,0.039713831911113884,0.02755066171565829,55222.00625,59050.2265625,60635.82828125,33.13715335843574,30467968890.4,1.136212797693503,0.01942275677038041,BTC-USD
2024-09-10,57020.09765625,58029.9765625,56419.4140625,57648.7109375,28857630507,0.011034389872275785,0.027922452644479696,55519.65078125,58873.9025390625,60437.0975,43.65947842486252,30033438860.6,0.9608500258975502,0.05069653416740816,BTC-USD
2024-09-11,57650.2890625,57991.3203125,55567.33984375,57343.171875,37049062672,-0.005300015516934153,0.02646339080087774,56198.534375,58721.9654296875,60265.4075,44.17567153607648,27570912681.8,1.3437735304445209,0.046421380815010904,BTC-USD
2024-09-12,57343.171875,58534.359375,57330.1015625,58127.01171875,33835707949,0.013669279499548104,0.024719342485372924,56995.99921875,58423.5982421875,60120.505078125,45.76327991334945,30525756966.4,1.1084314137154172,0.018164089078906098,BTC-USD
