date,Open,High,Low,Close,Volume,symbol,daily_return,volatility_10d,MA_5,MA_20,MA_50,RSI_14,volume_MA_5,volume_ratio,target_3d
2025-03-06,90622.359375,92804.9375,87852.140625,89961.7265625,47749810486,BTC-USD,-0.007303133084179958,0.04959628212460663,89624.3015625,91837.35546875,97085.3284375,39.227035637619096,58962921923.0,0.8098277515547269,-0.10405188803815091
2025-03-07,89963.28125,91191.046875,84717.6796875,86742.671875,65945677657,BTC-USD,-0.0357824911826653,0.050052426879950006,88123.165625,91295.471484375,96825.04375,38.23262447370494,60472389236.0,1.0905088833126786,-0.09465551034480402
2025-03-08,86742.65625,86847.265625,85247.484375,86154.59375,18206118081,BTC-USD,-0.006779571257010009,0.047213580149030626,88140.95,90794.449609375,96458.89484375,36.97236040813848,50099167145.0,0.3634016116137573,-0.03821482603764237
2025-03-09,86154.3046875,86471.1328125,80052.484375,80601.0390625,30899345977,BTC-USD,-0.0644603432710168,0.05180797496089901,86816.71875,90035.832421875,95982.75421875,32.68333551719893,42659988045.6,0.7243167987757323,0.038725559233543594
2025-03-10,80597.1484375,83955.9296875,77420.59375,78532.0,54061099422,BTC-USD,-0.02567012890361897,0.052270563009101746,84398.40625,89185.455078125,95531.60203125,34.828033942494386,43372410324.6,1.246439822398747,0.03227605466561401
2025-03-11,78523.875,83577.7578125,76624.25,82862.2109375,54702837196,BTC-USD,0.05513944554449135,0.055315246219573656,82978.503125,88496.78515625,95148.51296875,43.34248372471754,44763015666.6,1.2220543317151131,0.013358207709843528
2025-03-12,82857.375,84358.578125,80635.25,83722.359375,40353484454,BTC-USD,0.010380466895202334,0.043964486116605764,82374.440625,87766.20625,94700.03484375,49.23044880685253,39644577026.0,1.017881573753078,0.007414387322980387
2025-03-13,83724.921875,84301.6953125,79931.8515625,81066.703125,31412940153,BTC-USD,-0.0317197970748182,0.03614832311975016,81356.8625,87013.2640625,94248.3075,45.75895073327962,42285941440.4,0.742869594077148,0.01866345017962634
2025-03-14,81066.9921875,85263.2890625,80797.5625,83969.1015625,29588112414,BTC-USD,0.03580259620308812,0.03808181286420015,82030.475,86382.83125,93848.48609375,49.555716273021545,42023694727.8,0.7040816521643569,0.001269347123127984
2025-03-15,83968.40625,84672.671875,83639.59375,84343.109375,13650491277,BTC-USD,0.004454112352525463,0.035300151654212575,83192.696875,85786.290625,93438.95859375,48.088332858438804,33941573098.8,0.40217615245071275,-0.01926190991817467
2025-03-16,84333.3203125,85051.6015625,82017.90625,82579.6875,21330270174,BTC-USD,-0.020907717157540473,0.03559147941983308,83136.1921875,85344.36640625,92996.259375,34.531694001181876,27267059694.4,0.7822724713651734,0.051762596734215016
2025-03-17,82576.3359375,84725.328125,82492.15625,84075.6875,25092785558,BTC-USD,0.018115835083536647,0.034984958734784494,83206.8578125,85111.3421875,92624.123125,46.79358490395029,24214919915.2,1.0362530888342503,0.0010883980282647698
2025-03-18,84075.71875,84075.71875,81179.9921875,82718.5,24095774594,BTC-USD,-0.016142449028442418,0.03523469466771874,83537.2171875,85029.916015625,92236.739375,42.78992548448592,22751486803.4,1.0590857117258423,0.01601506540253994
2025-03-19,82718.8046875,87021.1875,82569.7265625,86854.2265625,34931960257,BTC-USD,0.049997601050550955,0.03163911748963902,84114.2421875,85137.416015625,91947.174375,44.10420733345081,23820256372.0,1.4664812885079388,-0.034790963054924684
2025-03-20,86872.953125,87443.265625,83647.1953125,84167.1953125,29028988961,BTC-USD,-0.030937253791171848,0.0322978882540122,84079.059375,85127.125390625,91556.4540625,41.47650355764329,26895955908.8,1.079306831831253,0.02242179605121919
2025-03-21,84164.5390625,84782.2734375,83171.0703125,84043.2421875,19030452299,BTC-USD,-0.0014727011460912154,0.027627741923885743,84371.7703125,85027.691796875,91142.6128125,45.63148383168455,26435992333.8,0.7198690353177485,0.04111778395329413
2025-03-22,84046.2578125,84513.875,83674.78125,83832.484375,9863214091,BTC-USD,-0.0025077306278807887,0.02748099158026861,84323.1296875,84506.8984375,90771.16203125,46.195644939489725,23390078040.4,0.4216836760426356,0.043410603623781796
2025-03-23,83831.8984375,86094.78125,83794.9140625,86054.375,12594615537,BTC-USD,0.026503933905394295,0.026033376673638566,84990.3046875,84506.33359375,90479.13140625,60.029149500674,21089846229.0,0.597188590198516,0.009836894550683706
2025-03-24,86070.9296875,88758.7265625,85541.1953125,87498.9140625,34582604933,BTC-USD,0.016786352378946434,0.024273150043295742,85119.2421875,84520.16953125,90275.33015625,66.87862402225846,21019975164.2,1.6452257751426407,-0.0036779027882578585
2025-03-25,87512.8203125,88542.3984375,86346.078125,87471.703125,30005840049,BTC-USD,-0.0003109860024155253,0.024318459640564585,85780.14375,84362.5765625,89996.65578125,60.353788741049904,21215345381.8,1.4143460551314475,-0.03565215465215621
2025-03-26,87460.234375,88292.15625,85861.453125,86900.8828125,26704046038,BTC-USD,-0.00652577110204744,0.0230813005891365,86351.671875,84209.534375,89777.23703125,57.233583087058456,22750064129.6,1.1738009126425053,-0.04951959906189818
2025-03-27,86896.2578125,87786.7265625,85837.9375,87177.1015625,24413471941,BTC-USD,0.003178549412391707,0.022642572342115037,87020.5953125,84231.255859375,89588.47015625,65.59478144842879,25660115699.6,0.9514170640072589,-0.05554873972872576
2025-03-28,87185.234375,87489.859375,83557.640625,84353.1484375,34198619509,BTC-USD,-0.032393289916566204,0.0247248634113325,86680.35,84141.18359375,89343.6671875,50.98409370811025,29980916494.0,1.14067958915946,-0.02138905788841794
2025-03-29,84352.0703125,84567.3359375,81634.140625,82597.5859375,16969396135,BTC-USD,-0.020812056603918605,0.01900270923412326,85700.084375,84241.0109375,89065.0371875,45.82296210796394,26458274734.4,0.6413644239976487,0.03113391158242651
2025-03-30,82596.984375,83505.0,81573.25,82334.5234375,14763760943,BTC-USD,-0.0031848691098436133,0.01665027452783199,84672.6484375,84431.137109375,88782.07859375,49.36793557579475,23409858913.2,0.6306642426911523,0.0018362588825180381
