date,Open,High,Low,Close,Volume,symbol,daily_return,price_change,volatility_5,volatility_10,volatility_20,MA_5,price_vs_MA_5,MA_10,price_vs_MA_10,MA_20,price_vs_MA_20,MA_50,price_vs_MA_50,RSI_14,volume_MA_5,volume_ratio,price_range,momentum_5,momentum_10,target_3_days,target_7_days,target_direction_3d,target_direction_7d,trend_5,trend_20,resistance_20,support_20,distance_to_resistance,distance_to_support
2024-02-01,391.52635632259523,398.0461611804006,390.64179473906245,392.3612060546875,29727100,META,0.011893169880164756,4.611572265625,0.016343660971672974,0.013131236059434816,0.014085117018101122,393.6015625,-0.0031512995970702784,389.04664001464846,0.008519713831519615,375.49517822265625,0.044916762744767524,352.14115478515623,0.11421570788586122,69.5347425038185,20085740.0,1.480010196288511,0.018871301053922533,0.004069416555562366,0.04958401608162033,0.1518314068438935,0.18775004098968862,1,1,0,1,403.87021338411336,341.29604614854907,0.029332684148752782,0.13014834065685113
2024-02-02,456.7840522194359,482.9825308213264,450.2344325689633,472.0797424316406,84707600,META,0.20317639753060068,79.71853637695312,0.09207997209473878,0.06434936368289697,0.04609459218704912,409.6724792480469,0.15233452659095414,398.14455261230466,0.18569936304347912,381.84950256347656,0.23629791125147448,354.82500915527345,0.3304579165812289,85.98020993144316,34394520.0,2.462822565920385,0.06936984434807679,0.20513000494700462,0.23872731254762103,-0.011368592722437953,-0.031305875470914346,0,0,1,1,482.9825308213264,344.1384999255131,0.02309522610211252,0.2710161674108565
2024-02-05,467.00106673786183,469.00867935040276,456.40637654057167,456.59521484375,40832400,META,-0.03280066098183154,-15.484527587890625,0.09786301991906882,0.06630665596356311,0.04740844580769874,421.2789245605469,0.0838311347287144,405.8599914550781,0.12500671279959708,387.1895812988281,0.17925490999034777,357.2586065673828,0.2780523868432858,81.02016432863988,38812520.0,1.0520419699622698,0.027600602021516325,0.1456036517910413,0.20333707670967116,0.02305130589333637,0.030190996859182917,1,1,1,1,482.9825308213264,349.8929775931583,0.057791486024675764,0.23369109833335838
2024-02-06,461.15710076297296,464.2579798634834,450.2244970810922,451.9339599609375,21655200,META,-0.010208724776950673,-4.6612548828125,0.09858969770528339,0.06694984966287179,0.04770687626370501,432.1439514160156,0.04579494513361926,412.76939697265624,0.09488242896765842,391.9631546020508,0.15300112945507194,359.50933166503904,0.25708547777561463,78.40647561080071,39420620.0,0.54933686989195,0.03105206518139108,0.13662959866130886,0.18047767307474327,0.029446608447905698,0.06445727630520204,1,1,1,1,482.9825308213264,353.1826660122648,0.06870156618252933,0.21850823947199757
2024-02-07,455.19387464845715,468.63102788936953,453.38501834758443,466.7128601074219,23066000,META,0.032701459628663,14.778900146484375,0.09392299630493052,0.06707293791260423,0.04773973740650642,447.9365966796875,0.04191723464193964,420.61005859375,0.10960936518686704,397.53679809570315,0.17401172002966447,362.1204345703125,0.2888332597446963,79.37146539510474,39997660.0,0.5766837359985559,0.032666786893928684,0.20364487658372799,0.20191953501484083,-0.0014694721140644518,0.007943113715485062,0,1,1,1,482.9825308213264,356.4127663145458,0.034860129438387004,0.23633395010261474
2024-02-08,465.45063137550386,467.706712266999,462.1807805672625,467.1203308105469,18815100,META,0.0008730650855244271,0.407470703125,0.09489960622735247,0.06722238371015256,0.04754880486504532,462.8884216308594,0.009142395838672046,428.2449920654297,0.09077826820022117,402.4828048706055,0.16059698739358996,364.809853515625,0.28044877710667393,78.43484636454465,37815260.0,0.49755310422300414,0.01182978203956116,0.19053648424518155,0.19538127312416975,-0.02102126017673811,0.0037234267390162668,0,1,1,1,482.9825308213264,356.4127663145458,0.03395741731740824,0.23700009867671862
2024-02-09,470.0522544059997,470.68831736345834,464.60581936676004,465.24188232421875,18413100,META,-0.0040213374636651755,-1.878448486328125,0.023612530710637285,0.06743890380898122,0.04758172142749901,461.520849609375,0.008062545208939564,435.59666442871094,0.06805657691246969,407.37464599609376,0.14204918469246097,367.3764306640625,0.26639012057266864,78.32162436212784,24556360.0,0.7498301865585942,0.013073840141630906,-0.014484544649598141,0.18767424558177948,0.011044571462755837,0.0008899940347835145,1,1,1,1,482.9825308213264,356.4127663145458,0.03813209681054578,0.23391943018112
2024-02-12,465.32139724444704,476.21423671361623,463.72124595990954,466.02703857421875,19382000,META,0.0016876301980328634,0.78515625,0.01662013261313496,0.06766785459988559,0.047646891754454836,463.40721435546874,0.005653395410327722,442.3430694580078,0.05354208249544934,412.0662216186523,0.13095180853116517,370.09367736816404,0.25921372634156503,77.94096664151934,20266280.0,0.9563669306848618,0.02680743759402509,0.02065686065872674,0.16926822679621734,0.03226712673502985,0.037845691384077895,1,1,1,1,482.9825308213264,356.4127663145458,0.03638306545255818,0.23521011269009434
2024-02-13,454.07078532038025,465.023285979823,452.3016924663456,457.3008728027344,20916600,META,-0.018724591170035,-8.726165771484375,0.018764634859254278,0.06839741349191224,0.047645259354804806,464.4805969238281,-0.015457532927411255,448.31227416992186,0.020049860667891606,416.6708358764648,0.09751111291675718,372.7367828369141,0.22687347710145422,72.67738043604298,20118560.0,1.0396668548842463,0.027818869960838877,0.011875436053224941,0.15012757077641403,0.028688203774015486,0.053080864754266655,1,1,0,1,482.9825308213264,356.4127663145458,0.056159214963209386,0.2206164748163702
2024-02-14,465.0630521639691,471.2051809036013,463.2343292219395,470.3802795410156,16858400,META,0.028601315930405713,13.07940673828125,0.017133745880293004,0.06692909662328599,0.04772051973266469,465.2140808105469,0.01110499218223926,456.57533874511716,0.03023584417380243,421.8842010498047,0.11495116046188669,375.6877917480469,0.25205101116640427,74.45952309200892,18877040.0,0.8930637430444603,0.01694554816251972,0.007857978099745644,0.21310309166379393,-0.00323283195858981,0.018955104126462174,0,1,1,1,482.9825308213264,368.67718482507104,0.02679162334910749,0.21621462280515613
