date,Open,High,Low,Close,Volume,symbol,price_change,daily_return,high_low_ratio,volume_change,MA_5,MA_10,MA_20,MA_50,MA_5_ratio,MA_10_ratio,MA_20_ratio,RSI_14,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_position,volatility_5,volatility_10,volatility_20,momentum_5,momentum_10,target_5_days,target_direction,date_dt,day_of_week,month,quarter
2024-02-01,141.14648505201,142.08004855541006,139.82559362212137,140.1930694580078,40466500,GOOGL,0.007565989936505257,0.7565989936505257,1.0161233353271601,-0.4372618550966486,146.6723846435547,146.8273147583008,143.24998931884767,138.30350616455078,0.9558245732399251,0.9548160006112356,0.9786602437083907,48.415951325970504,2.2055406874011965,2.7628569911193517,-0.5573163037181552,143.24998931884767,153.61983282174708,132.88014581594825,0.35260530402483226,0.035215189449716376,0.027836768853546523,0.021078557456574127,-0.07052077563728054,-0.016169496915789616,0.033649796526723286,1,2024-02-01,3,2,1
2024-02-02,138.3060853281464,141.64307045990364,135.56499635195138,141.40472412109375,62499600,GOOGL,0.008642757218814356,0.8642757218814356,1.0448351290636446,0.5444775307970791,144.72382507324218,146.4300537109375,143.54743728637695,138.4252667236328,0.9770659671932476,0.9656810233795032,0.9850731353635489,49.54534022895478,1.760364417695854,2.5623584764346523,-0.8019940587387984,143.54743728637695,153.29877100651166,133.79610356624224,0.39013230257626763,0.03607345752526464,0.027074907855910397,0.020639875384105534,-0.0644588659106502,-0.027326202428373025,0.04649512792567245,1,2024-02-02,4,2,1
2024-02-05,141.84172140070675,144.47356341654853,141.801986905598,142.69581604003906,38505400,GOOGL,0.009130472316042804,0.9130472316042804,1.0188401909539468,-0.3839096570218049,142.77129516601562,146.2006362915039,143.94221572875978,138.55854766845704,0.9994713284215234,0.9760273255960615,0.991340971914248,51.92994836128562,1.494511545589603,2.3487890902656425,-0.8542775446760396,143.94221572875978,152.80093540709947,135.08349605042008,0.4296512513107134,0.03614167883906766,0.02731905133344079,0.020619749082956943,-0.0640348143295143,-0.015822983301312266,0.026795518639205484,1,2024-02-05,0,2,1
2024-02-06,143.65916602671757,144.36430931528574,142.20917526492912,143.11294555664062,29128200,GOOGL,0.0029232077588352556,0.29232077588352556,1.0151546765273176,-0.2435294789821687,141.30937805175782,145.90865325927734,144.2034149169922,138.66997924804687,1.0127632541431342,0.9808393289898386,0.9924379782477463,54.34998167802832,1.3024660767955254,2.1395244875716193,-0.8370584107760939,144.2034149169922,152.60700623685904,135.79982359712534,0.43511884866571304,0.036784554729526416,0.027205701791856354,0.020084261630972933,-0.04859368816944376,-0.01999434924586252,0.00721714885835989,1,2024-02-06,1,2,1
2024-02-07,143.7684044294837,144.62251413002522,142.94408801989272,144.54306030273438,25208900,GOOGL,0.00999290972966338,0.999290972966338,1.0117418364997295,-0.13455345678758046,142.38992309570312,145.59481658935547,144.43134155273438,138.8457666015625,1.0151214156186044,0.9927761419584906,1.0007735076666806,53.47268015310158,1.2512434120236549,1.9618682724620264,-0.7106248604383716,144.43134155273438,152.59704629565522,136.26563680981354,0.5068407292154941,0.0027846098497233403,0.027140077523606785,0.019938269123875314,0.03882932448382714,-0.021250923443319913,0.00274850851503472,1,2024-02-07,2,2,1
2024-02-08,144.83108389157408,145.32765895182595,144.10608854680143,144.91053771972656,22563800,GOOGL,0.0025423387066978442,0.2542338706697844,1.0084768826726416,-0.10492722808214561,143.3334167480469,145.00290069580078,144.6115982055664,139.03446533203126,1.0110031631664231,0.9993630267006315,1.0020671890627695,49.13376961986893,1.2261669482499258,1.8147280076196064,-0.5885610593696806,144.6115982055664,152.6448486398715,136.5783477712613,0.5186063858337828,0.003607653819703059,0.025988038102101284,0.019858741005932934,0.033649796526723286,-0.039243988861658474,-0.021520172410724903,0,2024-02-08,3,2,1
2024-02-09,145.6752395087028,148.41634329742809,145.17866449239943,147.97935485839844,26829500,GOOGL,0.021177322139314114,2.1177322139314114,1.022301340326754,0.1890506031785426,144.64834289550782,144.686083984375,144.95522689819336,139.26884857177734,1.0230283451314537,1.0227614901401236,1.020862496819994,55.045234594099036,1.4373526592243877,1.7392529379405628,-0.3019002787161751,144.95522689819336,152.94507193018836,136.96538186619836,0.6892482237199272,0.007546546106506981,0.02713413596790711,0.020324091045348047,0.04649512792567245,-0.020960761201437084,-0.05691260288874744,0,2024-02-09,4,2,1
2024-02-12,147.40332736941176,148.31702358925634,146.36051679478177,146.51942443847656,21564100,GOOGL,-0.009865770947027563,-0.9865770947027563,1.0133677226435178,-0.1962541232598446,145.4130645751953,144.09217987060546,145.1975555419922,139.5179299926758,1.0076083938297657,1.0168450818778005,1.0091039335445429,50.80992623736403,1.469969776384687,1.685396305629388,-0.21542652924470085,145.1975555419922,153.06122249077038,137.333888593214,0.5840491405024318,0.011372693445622374,0.026974119591987724,0.020508844480809876,0.026795518639205484,-0.03895514175123338,-0.04344877064310759,0,2024-02-12,0,2,1
2024-02-13,143.92731874169158,145.6653315141202,142.70574829340842,144.14581298828125,27837700,GOOGL,-0.0161999779844344,-1.61999779844344,1.0207390610126423,0.2909279775181899,145.61963806152343,143.46450805664062,145.32914810180665,139.76840240478515,0.9898789401425411,1.004748944117744,0.991857551434235,44.254347116684535,1.289424783530194,1.6062020012095493,-0.3167772176793553,145.32914810180665,153.0194419485569,137.6388542550564,0.42306307553999034,0.015023969605107284,0.027102880858706824,0.020898832575030345,0.00721714885835989,-0.04172724719217946,-0.017844886172372676,0,2024-02-13,1,2,1
2024-02-14,145.0793785522992,145.5163670514816,143.10300425982211,144.94033813476562,22704200,GOOGL,0.005511954388498053,0.5511954388498053,1.0168645152080646,-0.18440819464251712,145.6990936279297,144.0445083618164,145.55111694335938,140.04807342529296,0.9947923115081162,1.0062191178486237,0.9958036817482381,39.63651478219402,1.1966587776397262,1.5242933564955847,-0.32763457885585856,145.55111694335938,152.90348604933993,138.19874783737882,0.4584638094340958,0.014518025704777827,0.010526345702393046,0.02082606906206476,0.00274850851503472,0.04168455572783891,-0.01267642999491514,0,2024-02-14,2,2,1
